latitude,longitude,date,max_chla
50.0,345.0,2017-05-24,1.3894848823547363
50.0,345.25,2017-04-14,1.2456978559494019
50.0,345.5,2017-04-14,1.4327176809310913
50.0,345.75,2017-04-14,1.4124832153320312
50.0,346.0,2017-06-09,1.4889122247695923
50.0,346.25,2017-06-09,1.719283103942871
50.0,346.5,2017-06-09,1.875083088874817
50.0,346.75,2017-06-09,1.8143343925476074
50.0,347.0,2017-06-09,1.5127313137054443
50.0,347.25,2017-06-09,1.5863627195358276
50.0,347.5,2017-06-09,1.7200018167495728
50.0,347.75,2017-06-09,1.7443194389343262
50.0,348.0,2017-06-09,1.575590968132019
50.0,348.25,2017-06-01,1.5701894760131836
50.0,348.5,2017-06-09,1.1791633367538452
50.0,348.75,2017-06-09,1.1461882591247559
50.0,349.0,2017-06-01,1.3661375045776367
50.0,349.25,2017-05-24,1.7731049060821533
50.0,349.5,2017-05-24,1.580118179321289
50.0,349.75,2017-05-08,0.8696287870407104
50.0,350.0,2017-04-30,0.787717878818512
50.0,350.25,2017-04-30,0.9189022779464722
50.0,350.5,2017-04-06,1.2479439973831177
50.0,350.75,2017-04-06,1.4012726545333862
50.0,351.0,2017-04-06,1.4878922700881958
50.0,351.25,2017-04-06,1.2466695308685303
50.0,351.5,2017-04-06,1.1410861015319824
50.0,351.75,2017-04-06,1.3134138584136963
50.0,352.0,2017-04-06,1.5427504777908325
50.0,352.25,2017-04-06,1.4533848762512207
50.0,352.5,2017-04-06,1.5105913877487183
50.0,352.75,2017-04-30,1.3767203092575073
50.0,353.0,2017-05-08,1.6567409038543701
50.0,353.25,2017-04-22,2.220745801925659
50.0,353.5,2017-04-22,1.6361594200134277
50.0,353.75,2017-04-22,1.6076360940933228
50.0,354.0,2017-02-09,1.151665210723877
50.0,354.25,2017-02-09,1.6148056983947754
50.0,354.5,2017-02-01,1.809894323348999
50.0,354.75,2017-02-09,1.7763302326202393
50.0,355.0,2017-02-09,1.6066114902496338
50.0,355.25,2017-09-29,1.5255389213562012
50.0,355.5,2017-02-01,1.6938281059265137
50.0,355.75,2017-09-29,1.1146539449691772
50.0,356.0,2017-10-31,1.0185284614562988
50.0,356.25,2017-08-28,0.9912498593330383
50.0,356.5,2017-02-09,1.6024978160858154
50.0,356.75,2017-02-09,1.7088525295257568
50.0,357.0,2017-02-01,1.7981313467025757
50.0,357.25,2017-02-01,1.6013240814208984
50.0,357.5,2017-02-09,1.4306776523590088
50.0,357.75,2017-02-09,1.2520326375961304
50.0,358.0,2017-03-05,1.322227954864502
50.0,358.25,2017-03-05,1.2627671957015991
50.0,358.5,2017-02-25,1.4487468004226685
50.0,358.75,2017-02-09,1.3625097274780273
50.0,359.0,2017-02-09,1.3351677656173706
50.0,359.25,2017-02-25,1.509905457496643
50.0,359.5,2017-05-16,2.022933006286621
50.0,359.75,2017-05-24,3.0065062046051025
50.25,345.0,2017-05-24,1.2592295408248901
50.25,345.25,2017-04-14,1.3903602361679077
50.25,345.5,2017-06-09,1.6828829050064087
50.25,345.75,2017-06-09,1.5745725631713867
50.25,346.0,2017-06-09,1.5597219467163086
50.25,346.25,2017-06-09,1.7385932207107544
50.25,346.5,2017-06-09,1.5964879989624023
50.25,346.75,2017-06-09,1.3309423923492432
50.25,347.0,2017-06-09,1.2962137460708618
50.25,347.25,2017-06-09,1.6353214979171753
50.25,347.5,2017-06-09,1.7838788032531738
50.25,347.75,2017-06-09,1.7829337120056152
50.25,348.0,2017-06-09,1.6581429243087769
50.25,348.25,2017-06-09,1.2885408401489258
50.25,348.5,2017-06-09,1.1927529573440552
50.25,348.75,2017-06-09,1.1041312217712402
50.25,349.0,2017-05-24,1.1863490343093872
50.25,349.25,2017-05-24,1.4743549823760986
50.25,349.5,2017-05-24,1.389763355255127
50.25,349.75,2017-05-16,1.0857245922088623
50.25,350.0,2017-04-30,0.8814674019813538
50.25,350.25,2017-04-06,1.3175864219665527
50.25,350.5,2017-04-06,1.583911418914795
50.25,350.75,2017-04-06,1.8200812339782715
50.25,351.0,2017-04-06,2.0274133682250977
50.25,351.25,2017-04-06,1.7888118028640747
50.25,351.5,2017-04-06,1.3888860940933228
50.25,351.75,2017-04-06,1.1470636129379272
50.25,352.0,2017-04-06,1.1860876083374023
50.25,352.25,2017-04-30,0.942026674747467
50.25,352.5,2017-04-06,1.1548429727554321
50.25,352.75,2017-04-06,1.4792193174362183
50.25,353.0,2017-05-08,1.5888745784759521
50.25,353.25,2017-05-08,1.5915179252624512
50.25,353.5,2017-05-08,1.203736424446106
50.25,353.75,2017-04-22,1.7676372528076172
50.25,354.0,2017-02-09,1.6611546277999878
50.25,354.25,2017-02-09,1.7543089389801025
50.25,354.5,2017-02-09,1.6594905853271484
50.25,354.75,2017-10-31,2.5777909755706787
50.25,355.0,2017-04-06,1.9516657590866089
50.25,355.25,2017-10-07,2.3506858348846436
50.25,355.5,2017-10-07,2.2804276943206787
50.25,355.75,2017-02-01,2.4923102855682373
50.25,356.0,2017-02-01,2.0816123485565186
50.25,356.25,2017-02-25,2.4990246295928955
50.25,356.5,2017-02-09,1.8612617254257202
50.25,356.75,2017-02-25,2.0914103984832764
50.25,357.0,2017-02-01,2.2385101318359375
50.25,357.25,2017-02-25,2.133510112762451
50.25,357.5,2017-02-25,2.29980731010437
50.25,357.75,2017-02-09,3.1950595378875732
50.25,358.0,2017-02-09,1.8440252542495728
50.25,358.25,2017-01-24,2.2473371028900146
50.25,358.5,2017-11-16,2.1611814498901367
50.25,358.75,2017-02-09,3.2717056274414062
50.25,359.0,2017-02-09,2.6245908737182617
50.25,359.25,2017-02-25,1.6128425598144531
50.25,359.5,2017-02-09,1.895462989807129
50.25,359.75,2017-10-15,1.9701675176620483
50.5,345.0,2017-05-24,1.1037415266036987
50.5,345.25,2017-05-24,1.1610934734344482
50.5,345.5,2017-06-09,1.687473177909851
50.5,345.75,2017-06-09,1.6606471538543701
50.5,346.0,2017-06-01,1.6940157413482666
50.5,346.25,2017-06-01,2.6809427738189697
50.5,346.5,2017-06-01,1.257093906402588
50.5,346.75,2017-06-01,1.1877659559249878
50.5,347.0,2017-06-01,1.2092446088790894
50.5,347.25,2017-06-09,0.9899187088012695
50.5,347.5,2017-06-09,1.351605772972107
50.5,347.75,2017-06-09,1.266222596168518
50.5,348.0,2017-06-09,1.181957721710205
50.5,348.25,2017-06-09,1.2411599159240723
50.5,348.5,2017-06-09,1.0474086999893188
50.5,348.75,2017-06-09,1.0360747575759888
50.5,349.0,2017-06-01,1.1692520380020142
50.5,349.25,2017-06-09,1.5181512832641602
50.5,349.5,2017-05-24,1.545320987701416
50.5,349.75,2017-05-16,1.0361948013305664
50.5,350.0,2017-05-16,0.8895833492279053
50.5,350.25,2017-04-06,1.1226589679718018
50.5,350.5,2017-04-06,1.7060829401016235
50.5,350.75,2017-04-06,1.8039145469665527
50.5,351.0,2017-04-06,2.2654144763946533
50.5,351.25,2017-04-06,2.423030376434326
50.5,351.5,2017-04-06,1.6256699562072754
50.5,351.75,2017-04-06,1.1619304418563843
50.5,352.0,2017-04-30,1.0653977394104004
50.5,352.25,2017-03-29,1.100196361541748
50.5,352.5,2017-03-29,1.0957107543945312
50.5,352.75,2017-04-30,1.2762770652770996
50.5,353.0,2017-04-30,1.2319186925888062
50.5,353.25,2017-05-08,1.3975976705551147
50.5,353.5,2017-05-08,1.317453145980835
50.5,353.75,2017-04-14,1.2237849235534668
50.5,354.0,2017-04-14,1.3560155630111694
50.5,354.25,2017-05-08,1.0375157594680786
50.5,354.5,2017-03-05,1.2105181217193604
50.5,354.75,2017-02-17,1.5770554542541504
50.5,355.0,2017-10-31,3.0508992671966553
50.5,355.25,2017-04-30,2.5710277557373047
50.5,355.5,,
50.5,355.75,,
50.5,356.0,,
50.5,356.25,,
50.5,356.5,2017-02-01,6.693954944610596
50.5,356.75,2017-02-01,4.082557678222656
50.5,357.0,2017-02-09,2.470796823501587
50.5,357.25,2017-02-09,3.163512945175171
50.5,357.5,2017-02-09,2.8824286460876465
50.5,357.75,2017-02-09,3.086540699005127
50.5,358.0,2017-03-05,3.143517255783081
50.5,358.25,2017-11-16,3.1012415885925293
50.5,358.5,2017-02-09,4.396829128265381
50.5,358.75,2017-10-31,4.392483234405518
50.5,359.0,2017-02-09,4.486753940582275
50.5,359.25,2017-02-09,4.296870231628418
50.5,359.5,2017-02-09,3.5298173427581787
50.5,359.75,2017-02-25,2.9166440963745117
50.75,345.0,2017-04-14,0.9137490391731262
50.75,345.25,2017-05-24,0.9416267275810242
50.75,345.5,2017-05-24,1.1830817461013794
50.75,345.75,2017-06-09,1.4063174724578857
50.75,346.0,2017-06-09,1.0394185781478882
50.75,346.25,2017-06-01,1.0234946012496948
50.75,346.5,2017-06-01,1.2005013227462769
50.75,346.75,2017-06-01,1.4000166654586792
50.75,347.0,2017-06-09,1.0514429807662964
50.75,347.25,2017-06-09,1.0663955211639404
50.75,347.5,2017-06-09,1.1857643127441406
50.75,347.75,2017-06-09,1.0759804248809814
50.75,348.0,2017-06-09,0.9378918409347534
50.75,348.25,2017-06-09,0.9935811161994934
50.75,348.5,2017-06-09,1.0125430822372437
50.75,348.75,2017-06-09,1.1342154741287231
50.75,349.0,2017-06-09,1.440378189086914
50.75,349.25,2017-05-24,1.5959770679473877
50.75,349.5,2017-06-09,1.4315197467803955
50.75,349.75,2017-04-22,1.1823508739471436
50.75,350.0,2017-05-16,1.245339035987854
50.75,350.25,2017-04-06,1.7647374868392944
50.75,350.5,2017-04-06,2.91249680519104
50.75,350.75,2017-04-06,2.584155797958374
50.75,351.0,2017-04-06,2.2119176387786865
50.75,351.25,2017-04-06,2.5825419425964355
50.75,351.5,2017-04-06,2.0869874954223633
50.75,351.75,2017-04-06,1.540868878364563
50.75,352.0,2017-04-06,1.4375276565551758
50.75,352.25,2017-04-06,1.5811469554901123
50.75,352.5,2017-04-06,1.5789092779159546
50.75,352.75,2017-04-30,1.2782742977142334
50.75,353.0,2017-04-06,1.2498012781143188
50.75,353.25,2017-04-06,1.142175316810608
50.75,353.5,2017-04-30,1.4108097553253174
50.75,353.75,2017-04-06,1.3173706531524658
50.75,354.0,2017-04-14,1.3628264665603638
50.75,354.25,2017-04-14,1.5092777013778687
50.75,354.5,2017-04-14,1.136723279953003
50.75,354.75,2017-09-13,1.0306905508041382
50.75,355.0,2017-05-08,1.7686885595321655
50.75,355.25,2017-10-31,3.037930727005005
50.75,355.5,2017-01-24,5.144969940185547
50.75,355.75,,
50.75,356.0,,
50.75,356.25,,
50.75,356.5,,
50.75,356.75,2017-02-09,4.752710342407227
50.75,357.0,2017-02-09,3.054673194885254
50.75,357.25,2017-02-09,2.7648115158081055
50.75,357.5,,
50.75,357.75,,
50.75,358.0,2017-03-29,3.4481823444366455
50.75,358.25,2017-02-01,5.100895881652832
50.75,358.5,2017-04-06,3.8675014972686768
50.75,358.75,,
50.75,359.0,2017-03-21,5.186050891876221
50.75,359.25,2017-05-08,6.370997905731201
50.75,359.5,2017-05-08,5.382179260253906
50.75,359.75,2017-04-22,5.755987644195557
51.0,345.0,2017-08-04,0.8053304553031921
51.0,345.25,2017-08-04,0.9234015941619873
51.0,345.5,2017-04-14,0.9658123850822449
51.0,345.75,2017-06-09,0.9942006468772888
51.0,346.0,2017-08-12,1.0070492029190063
51.0,346.25,2017-06-01,1.9115560054779053
51.0,346.5,2017-06-01,1.4745577573776245
51.0,346.75,2017-06-01,0.9480657577514648
51.0,347.0,2017-05-08,0.7033993005752563
51.0,347.25,2017-06-09,1.1639256477355957
51.0,347.5,2017-06-09,1.2805627584457397
51.0,347.75,2017-06-09,1.3341079950332642
51.0,348.0,2017-06-09,1.1701273918151855
51.0,348.25,2017-06-09,1.1004295349121094
51.0,348.5,2017-06-09,1.1596908569335938
51.0,348.75,2017-06-09,1.5067893266677856
51.0,349.0,2017-06-09,2.0218052864074707
51.0,349.25,2017-05-24,2.0432262420654297
51.0,349.5,2017-05-08,2.0886759757995605
51.0,349.75,2017-05-08,1.7938618659973145
51.0,350.0,2017-05-08,1.6558804512023926
51.0,350.25,2017-04-30,1.5762245655059814
51.0,350.5,2017-04-06,1.6883431673049927
51.0,350.75,2017-04-06,1.9200670719146729
51.0,351.0,2017-04-06,2.1760733127593994
51.0,351.25,2017-04-06,2.282198905944824
51.0,351.5,2017-04-06,1.8093026876449585
51.0,351.75,2017-04-06,2.11557936668396
51.0,352.0,2017-04-06,2.0532851219177246
51.0,352.25,2017-04-06,2.018582344055176
51.0,352.5,2017-04-06,2.1968116760253906
51.0,352.75,2017-04-06,1.7297171354293823
51.0,353.0,2017-04-06,1.8212708234786987
51.0,353.25,2017-04-06,1.673966884613037
51.0,353.5,2017-04-06,1.6217838525772095
51.0,353.75,2017-04-06,1.4526066780090332
51.0,354.0,2017-04-14,1.653087854385376
51.0,354.25,2017-04-14,2.2733192443847656
51.0,354.5,2017-04-14,1.8832577466964722
51.0,354.75,2017-04-06,2.2062389850616455
51.0,355.0,2017-02-25,2.544861316680908
51.0,355.25,2017-10-15,3.4399750232696533
51.0,355.5,2017-02-09,3.7701401710510254
51.0,355.75,2017-05-24,5.2042646408081055
51.0,356.0,,
51.0,356.25,,
51.0,356.5,,
51.0,356.75,,
51.0,357.0,,
51.0,357.25,,
51.0,357.5,,
51.0,357.75,,
51.0,358.0,,
51.0,358.25,,
51.0,358.5,,
51.0,358.75,,
51.0,359.0,,
51.0,359.25,,
51.0,359.5,,
51.0,359.75,,
51.25,345.0,2017-08-04,0.9018503427505493
51.25,345.25,2017-08-12,0.8218543529510498
51.25,345.5,2017-07-03,0.743844747543335
51.25,345.75,2017-08-20,0.7831916213035583
51.25,346.0,2017-08-04,0.8099725246429443
51.25,346.25,2017-08-20,0.9479647874832153
51.25,346.5,2017-05-24,0.7062309384346008
51.25,346.75,2017-05-24,0.9517167210578918
51.25,347.0,2017-05-08,0.852738618850708
51.25,347.25,2017-05-08,0.9069216251373291
51.25,347.5,2017-06-09,1.2199772596359253
51.25,347.75,2017-06-09,1.241994023323059
51.25,348.0,2017-06-09,1.1008752584457397
51.25,348.25,2017-06-09,0.9653456211090088
51.25,348.5,2017-06-09,1.1415544748306274
51.25,348.75,2017-06-09,1.7046396732330322
51.25,349.0,2017-05-08,2.1860828399658203
51.25,349.25,2017-05-08,2.4094343185424805
51.25,349.5,2017-05-08,1.7957524061203003
51.25,349.75,2017-04-30,1.366682529449463
51.25,350.0,2017-04-30,1.5598366260528564
51.25,350.25,2017-04-30,1.5588035583496094
51.25,350.5,2017-02-09,1.5823402404785156
51.25,350.75,2017-02-09,1.6368062496185303
51.25,351.0,2017-03-29,1.6351310014724731
51.25,351.25,2017-04-06,1.991464614868164
51.25,351.5,2017-04-06,2.207779884338379
51.25,351.75,2017-04-06,1.3924626111984253
51.25,352.0,2017-04-06,1.2459015846252441
51.25,352.25,2017-04-06,1.5037513971328735
51.25,352.5,2017-04-06,2.1914236545562744
51.25,352.75,2017-04-06,1.4063054323196411
51.25,353.0,2017-04-06,1.346362590789795
51.25,353.25,2017-04-06,1.3481863737106323
51.25,353.5,2017-04-14,1.2141804695129395
51.25,353.75,2017-04-06,2.1236677169799805
51.25,354.0,2017-04-06,2.2920172214508057
51.25,354.25,2017-04-14,2.6303083896636963
51.25,354.5,2017-04-06,2.0014827251434326
51.25,354.75,2017-04-22,1.9576687812805176
51.25,355.0,2017-02-25,1.9582334756851196
51.25,355.25,2017-02-25,2.666224241256714
51.25,355.5,2017-02-25,3.574052572250366
51.25,355.75,2017-05-24,5.163855075836182
51.25,356.0,2017-02-25,6.360483646392822
51.25,356.25,2017-02-09,10.850198745727539
51.25,356.5,2017-02-01,9.669662475585938
51.25,356.75,2017-02-01,15.368012428283691
51.25,357.0,,
51.25,357.25,,
51.25,357.5,,
51.25,357.75,,
51.25,358.0,,
51.25,358.25,,
51.25,358.5,,
51.25,358.75,,
51.25,359.0,,
51.25,359.25,,
51.25,359.5,,
51.25,359.75,,
51.5,345.0,2017-07-19,0.8421840667724609
51.5,345.25,2017-08-04,0.8171281814575195
51.5,345.5,2017-08-20,0.7533465027809143
51.5,345.75,2017-08-20,0.7924648523330688
51.5,346.0,2017-04-06,0.8846391439437866
51.5,346.25,2017-09-05,0.8469549417495728
51.5,346.5,2017-05-08,0.9615787863731384
51.5,346.75,2017-05-08,1.1828542947769165
51.5,347.0,2017-05-08,1.0677653551101685
51.5,347.25,2017-05-08,1.0054322481155396
51.5,347.5,2017-05-08,1.1815522909164429
51.5,347.75,2017-05-08,1.4605168104171753
51.5,348.0,2017-05-08,1.1397051811218262
51.5,348.25,2017-05-08,0.9170252680778503
51.5,348.5,2017-04-22,0.9337367415428162
51.5,348.75,2017-04-22,1.212520718574524
51.5,349.0,2017-05-24,1.9263890981674194
51.5,349.25,2017-05-08,1.775245189666748
51.5,349.5,2017-04-30,1.217018485069275
51.5,349.75,2017-09-13,1.2177352905273438
51.5,350.0,2017-02-09,1.7517564296722412
51.5,350.25,2017-04-14,2.4187464714050293
51.5,350.5,2017-04-14,2.1934006214141846
51.5,350.75,2017-09-13,2.0843541622161865
51.5,351.0,2017-10-15,2.109344482421875
51.5,351.25,2017-02-09,2.0175857543945312
51.5,351.5,2017-02-09,1.9974400997161865
51.5,351.75,2017-02-09,1.2806662321090698
51.5,352.0,2017-03-29,1.334464192390442
51.5,352.25,2017-03-13,1.5045586824417114
51.5,352.5,2017-03-13,1.782155990600586
51.5,352.75,2017-03-13,1.1998459100723267
51.5,353.0,2017-03-29,1.4681428670883179
51.5,353.25,2017-04-06,1.2310856580734253
51.5,353.5,2017-04-06,1.3986165523529053
51.5,353.75,2017-04-14,1.662661075592041
51.5,354.0,2017-04-14,2.017648696899414
51.5,354.25,2017-04-14,2.1422252655029297
51.5,354.5,2017-02-25,2.4899983406066895
51.5,354.75,2017-02-25,2.59602689743042
51.5,355.0,2017-05-24,3.1258161067962646
51.5,355.25,2017-05-24,5.308567523956299
51.5,355.5,2017-05-24,6.648351669311523
51.5,355.75,2017-05-24,7.32675313949585
51.5,356.0,2017-05-24,8.311447143554688
51.5,356.25,2017-06-01,10.446544647216797
51.5,356.5,,
51.5,356.75,,
51.5,357.0,2017-08-28,9.51903247833252
51.5,357.25,,
51.5,357.5,,
51.5,357.75,,
51.5,358.0,,
51.5,358.25,,
51.5,358.5,,
51.5,358.75,,
51.5,359.0,,
51.5,359.25,,
51.5,359.5,,
51.5,359.75,,
51.75,345.0,2017-08-12,0.8020777106285095
51.75,345.25,2017-08-12,0.676555335521698
51.75,345.5,2017-08-12,0.609667181968689
51.75,345.75,2017-03-29,0.7167765498161316
51.75,346.0,2017-04-06,0.6932674646377563
51.75,346.25,2017-08-20,0.7414109706878662
51.75,346.5,2017-05-24,0.8873817920684814
51.75,346.75,2017-05-24,1.16306471824646
51.75,347.0,2017-05-24,1.1471744775772095
51.75,347.25,2017-05-24,1.120385766029358
51.75,347.5,2017-05-08,0.8293496966362
51.75,347.75,2017-05-08,0.9544503092765808
51.75,348.0,2017-05-08,0.9088170528411865
51.75,348.25,2017-05-08,0.6539939045906067
51.75,348.5,2017-04-22,1.1489832401275635
51.75,348.75,2017-05-08,1.2376095056533813
51.75,349.0,2017-06-01,1.8905317783355713
51.75,349.25,2017-04-22,1.3756654262542725
51.75,349.5,2017-04-14,2.158952474594116
51.75,349.75,2017-04-14,1.9232643842697144
51.75,350.0,2017-02-01,0.8926535248756409
51.75,350.25,,
51.75,350.5,,
51.75,350.75,,
51.75,351.0,,
51.75,351.25,,
51.75,351.5,2017-08-20,2.527419328689575
51.75,351.75,2017-02-01,2.2271628379821777
51.75,352.0,2017-10-23,2.0166938304901123
51.75,352.25,2017-02-01,3.377350330352783
51.75,352.5,2017-02-01,3.640366792678833
51.75,352.75,2017-03-29,1.4592993259429932
51.75,353.0,2017-04-06,1.6812913417816162
51.75,353.25,2017-10-15,2.751401901245117
51.75,353.5,2017-04-30,1.3331589698791504
51.75,353.75,2017-05-16,1.3121894598007202
51.75,354.0,2017-04-22,1.6677578687667847
51.75,354.25,2017-02-01,1.8513437509536743
51.75,354.5,2017-10-31,3.131800889968872
51.75,354.75,2017-03-05,2.854916572570801
51.75,355.0,,
51.75,355.25,2017-05-16,9.51156234741211
51.75,355.5,2017-05-24,8.785877227783203
51.75,355.75,,
51.75,356.0,,
51.75,356.25,,
51.75,356.5,,
51.75,356.75,,
51.75,357.0,,
51.75,357.25,,
51.75,357.5,,
51.75,357.75,,
51.75,358.0,,
51.75,358.25,,
51.75,358.5,,
51.75,358.75,,
51.75,359.0,,
51.75,359.25,,
51.75,359.5,,
51.75,359.75,,
52.0,345.0,2017-08-04,0.8950209021568298
52.0,345.25,2017-08-12,0.7006233334541321
52.0,345.5,2017-08-20,0.4363669455051422
52.0,345.75,2017-08-20,0.39134669303894043
52.0,346.0,2017-04-06,0.6593257188796997
52.0,346.25,2017-04-06,0.5537277460098267
52.0,346.5,2017-05-24,0.7107473611831665
52.0,346.75,2017-05-24,1.0582090616226196
52.0,347.0,2017-05-08,0.910904049873352
52.0,347.25,2017-05-16,0.8820257186889648
52.0,347.5,2017-05-16,0.8301430940628052
52.0,347.75,2017-05-16,0.9862130284309387
52.0,348.0,2017-05-16,0.8553890585899353
52.0,348.25,2017-04-22,0.6707987785339355
52.0,348.5,2017-04-22,1.0717995166778564
52.0,348.75,2017-04-30,1.2809784412384033
52.0,349.0,2017-04-30,1.655508279800415
52.0,349.25,2017-04-14,1.6782233715057373
52.0,349.5,2017-04-14,1.8512115478515625
52.0,349.75,2017-02-09,2.308840274810791
52.0,350.0,2017-04-06,1.489048719406128
52.0,350.25,,
52.0,350.5,,
52.0,350.75,,
52.0,351.0,,
52.0,351.25,,
52.0,351.5,,
52.0,351.75,,
52.0,352.0,,
52.0,352.25,2017-10-23,2.379127264022827
52.0,352.5,2017-02-01,1.9925564527511597
52.0,352.75,2017-04-06,2.9592177867889404
52.0,353.0,2017-02-01,2.3340301513671875
52.0,353.25,2017-04-30,2.5104238986968994
52.0,353.5,2017-05-08,2.400012493133545
52.0,353.75,2017-10-31,2.0465269088745117
52.0,354.0,2017-10-31,2.0640182495117188
52.0,354.25,2017-02-01,1.395257592201233
52.0,354.5,2017-02-09,2.844244956970215
52.0,354.75,2017-02-09,2.9939160346984863
52.0,355.0,2017-03-29,3.369861602783203
52.0,355.25,2017-02-01,3.641319990158081
52.0,355.5,,
52.0,355.75,,
52.0,356.0,,
52.0,356.25,,
52.0,356.5,,
52.0,356.75,,
52.0,357.0,,
52.0,357.25,,
52.0,357.5,,
52.0,357.75,,
52.0,358.0,,
52.0,358.25,,
52.0,358.5,,
52.0,358.75,,
52.0,359.0,,
52.0,359.25,,
52.0,359.5,,
52.0,359.75,,
52.25,345.0,2017-07-03,1.5042518377304077
52.25,345.25,2017-08-04,0.6620398163795471
52.25,345.5,2017-08-04,0.4659155607223511
52.25,345.75,2017-04-22,0.40042033791542053
52.25,346.0,2017-04-06,0.5772597193717957
52.25,346.25,2017-04-06,0.6267699003219604
52.25,346.5,2017-04-06,0.8619632124900818
52.25,346.75,2017-05-08,1.176362156867981
52.25,347.0,2017-05-08,0.8566480278968811
52.25,347.25,2017-05-08,0.9492631554603577
52.25,347.5,2017-06-01,0.857820451259613
52.25,347.75,2017-04-06,0.8219072222709656
52.25,348.0,2017-05-16,0.8677075505256653
52.25,348.25,2017-05-24,0.6312664151191711
52.25,348.5,2017-05-24,0.9358339309692383
52.25,348.75,2017-04-30,1.199249505996704
52.25,349.0,2017-03-29,1.4286413192749023
52.25,349.25,2017-03-29,1.3987382650375366
52.25,349.5,2017-04-14,1.5610783100128174
52.25,349.75,2017-04-22,1.7673027515411377
52.25,350.0,2017-02-09,2.696103096008301
52.25,350.25,,
52.25,350.5,,
52.25,350.75,,
52.25,351.0,,
52.25,351.25,,
52.25,351.5,,
52.25,351.75,,
52.25,352.0,,
52.25,352.25,,
52.25,352.5,,
52.25,352.75,,
52.25,353.0,,
52.25,353.25,2017-04-30,3.4163970947265625
52.25,353.5,2017-04-30,5.367323875427246
52.25,353.75,2017-04-30,4.590949058532715
52.25,354.0,2017-04-30,2.3257102966308594
52.25,354.25,2017-10-31,2.100095272064209
52.25,354.5,2017-02-09,1.9293519258499146
52.25,354.75,2017-02-09,2.3528075218200684
52.25,355.0,2017-02-09,2.692781686782837
52.25,355.25,2017-02-01,2.903649091720581
52.25,355.5,2017-02-01,3.1770119667053223
52.25,355.75,2017-09-21,3.263737916946411
52.25,356.0,,
52.25,356.25,,
52.25,356.5,,
52.25,356.75,,
52.25,357.0,,
52.25,357.25,,
52.25,357.5,,
52.25,357.75,,
52.25,358.0,,
52.25,358.25,,
52.25,358.5,,
52.25,358.75,,
52.25,359.0,,
52.25,359.25,,
52.25,359.5,,
52.25,359.75,,
52.5,345.0,2017-07-03,1.0635758638381958
52.5,345.25,2017-07-03,0.7965701222419739
52.5,345.5,2017-07-03,0.5217339992523193
52.5,345.75,2017-04-06,0.4450603127479553
52.5,346.0,2017-04-30,0.5733205080032349
52.5,346.25,2017-05-16,0.6425986886024475
52.5,346.5,2017-05-24,0.8788419961929321
52.5,346.75,2017-05-24,1.0957015752792358
52.5,347.0,2017-05-08,1.2775201797485352
